Field Name,Field Description,Outer Type Name,Outer Type Kind,Arg Name,Arg Description,Arg Type,Arg Kind,Inner Type Name,Inner Type Kind
scorecardStatsComparison,,ScorecardStatsComparison,OBJECT,tournamentId,,,NON_NULL,String,SCALAR
scorecardStatsComparison,,ScorecardStatsComparison,OBJECT,playerIds,,,NON_NULL,,LIST
scorecardStatsComparison,,ScorecardStatsComparison,OBJECT,round,,Int,SCALAR,,
scorecardStatsComparison,,ScorecardStatsComparison,OBJECT,category,,,NON_NULL,PlayerComparisonCategory,ENUM
tglSchedule, ## TGL queries,,NON_NULL,year,,Int,SCALAR,,
tglSchedule, ## TGL queries,,NON_NULL,offset,,Int,SCALAR,,
tglSchedule, ## TGL queries,,NON_NULL,limit,,Int,SCALAR,,
tglMatches,"  return a season from TGL based on supplied year, if year is ommitted current year returned, used by AEM",,NON_NULL,matchIds,,,NON_NULL,,LIST
tglMatch,  Returns full details for matches based on supplied matchIds,TGLMatch,OBJECT,matchId,,,NON_NULL,ID,SCALAR
groupLocations,  Returns full details for a match based on supplied matchId,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
groupLocations,  Returns full details for a match based on supplied matchId,,NON_NULL,round,,,NON_NULL,Int,SCALAR
